,perc
1731,1%
1732,9.1 percent
1733,6.83 percent
1734,3.8 percent
1735,13.8 percent
1736,5.67%
1737,54.1 percent
1738,12.10%
1739,0.81 percentage points
1740,12.86%
1741,3.53 percent
1742,92.2%
1743,31.34%
1744,94%
1745,799%
1746,0.5 percent
1747,240 percent
1748,4.54%
1749,16.8 percent
1750,21.7 percent
1751,3.440%
1752,42.1%
1753,250%
1754,73.3 percent
1755,9.17%
1756,2.77%
1757,13.0%
1758,66.8 percent
1759,8.48%
1760,11.82 percent
1761,98.5 percent
1762,5.8%
1763,4.74 percent
1764,6.04%
1765,2%
1766,55 percent
1767,332 percent
1768,44.1%
1769,75.6 percent
1770,50.66%
1771,11.52%
1772,42 percent
1773,3.73%
1774,131.5%
1775,53 percentage points
1776,24.55%
1777,4.00%
1778,2.41%
1779,5.6%
1780,4.55%
1781,5.29 percent
1782,8.375%
1783,78%
1784,6.6%
1785,390 percent
1786,0.20%
1787,98.22%
1788,1.238 percent
1789,3.7 percent
1790,53.8%
1791,149%
1792,2.23%
1793,17.8%
1794,57%
1795,32.5 percent
1796,41.4%
1797,0.71 percent
1798,164%
1799,7.38%
1800,2.6016%
1801,82.9 percent
1802,5.4 percent
1803,16.8%
1804,1.87%
1805,7.10%
1806,0.426%
1807,seven percent
1808,36.2%
1809,0.4%
1810,136 percent
1811,2.128 percent
1812,2.507 percent
1813,two percent
1814,24.9%
1815,15.91 percent
1816,4.25 percent
1817,46.2 percent
1818,19.6 percent
1819,15.7 percent
1820,13.38%
1821,0.25 percentage points
1822,0.21 percent
1823,3.05%
1824,78.3%
1825,4.74%
1826,8.94%
1827,20.8 percent
1828,56.7 percent
1829,9.41%
1830,4.87%
1831,3.1 percent
1832,25.6%
1833,443%
1834,14.46 percent
1835,7.20 percent
1836,2.40 percent
1837,285%
1838,42.3 percent
1839,25.7%
1840,15.56%
1841,1.05%
1842,2.90%
1843,2.07 percentage points
1844,26.29 percent
1845,0.61 percent
1846,6.375%
1847,6.49%
1848,2.79%
1849,71.24%
1850,2.88 percent
1851,28.4 percent
1852,7.86%
1853,11.1%
1854,230%
1855,1.84 percent
1856,1900%
1857,995%
1858,38.1%
1859,1 percentage points
1860,212%
1861,3.64%
1862,12.7 percentage points
1863,7.31 percent
1864,26.2%
1865,25.7 percent
1866,48.7 percent
1867,54.8 percent
1868,55.7%
1869,0.0005%
1870,2.257%
1871,63.4 percent
1872,8.67%
1873,39 percent
1874,77.6%
1875,59.25%
1876,6.0%
1877,3.78 percent
1878,68.09%
1879,165.4%
1880,73.7%
1881,63.4%
1882,2.98%
1883,9.62 percent
1884,6.1 percent
1885,150%
1886,99.8%
1887,03.5%
1888,0.85%
1889,20.6%
1890,13.8%
1891,0.38%
1892,0.61%
1893,42.9%
1894,25.6 percent
1895,30.9 percent
1896,11.2%
1897,50.3 percent
1898,18.71%
1899,38.1 percent
1900,52.2%
1901,7.2 percent
1902,41.56 percent
1903,84.8%
1904,21 percent
1905,73 percent
1906,0.515 percent
1907,13.10%
1908,4.49 percent
1909,15.1%
1910,330%
1911,0.54 percentage points
1912,11.44 percent
1913,262.1%
1914,16.84%
1915,537 percent
1916,15.33%
1917,4.57 percent
1918,24.6 percent
1919,67.5%
1920,76.4%
1921,34.5 percent
1922,1.36%
1923,3.66%
1924,16.2 percent
1925,6.11 percent
1926,0.59%
1927,71.8%
1928,35.4%
1929,3.03 percent
1930,2.80 percent
1931,319 percent
1932,98 percent
1933,0.66%
1934,6.90 percent
1935,2.72%
1936,57.9%
1937,102.6%
1938,74.8%
1939,2.5934%
1940,0.62%
1941,60.3%
1942,34.6 percent
1943,21.0%
1944,343.7%
1945,14.11%
1946,1.05 percent
1947,1.97%
1948,76.0%
1949,875 percent
1950,0.17 percent
1951,33.5 percent
1952,254%
1953,0.31%
1954,7.4 percent
1955,1.06%
1956,33.0%
1957,2.970%
1958,0.169 percent
1959,0.68%
1960,14.95%
1961,3.04%
1962,24.2 percent
1963,810%
1964,3.9 percentage points
1965,73.33%
1966,7.81 percent
1967,3.14%
1968,130 percent
1969,65.2%
1970,13 percentage points
1971,453%
1972,90.6%
1973,54.7%
1974,64.5%
1975,17.71%
1976,54.5%
1977,64 percent
1978,133.4 percent
1979,10.4 percent
1980,60.1%
1981,50.5 percent
1982,7.6%
1983,63.6%
1984,0.44%
1985,0.42%
1986,800%
1987,3.262 percent
1988,8.97 percent
1989,13.4%
1990,56.2%
1991,22.4 percent
1992,59.4 percent
1993,1.123%
1994,73%
1995,26.6%
1996,27.6%
1997,34.0%
1998,1.67 percentage points
1999,118%
2000,79.3%
2001,163.9 percent
2002,3.0%
2003,37.0%
2004,14.2 percent
2005,3.89 percent
2006,120 percent
2007,11.5%
2008,1.77%
2009,1.88%
2010,39.6 percent
2011,2.27 percent
2012,17 percent
2013,4.3 percent
2014,147%
2015,0.74%
2016,67.7%
2017,440 percent
2018,7.0%
2019,28.45%
2020,3.65 percent
2021,1.256%
2022,2.6179%
2023,1.28 percentage points
2024,68.4%
2025,31.3 percent
2026,98%
2027,6.66%
2028,19.1%
2029,4.41%
2030,1.618%
2031,52.0 percent
2032,171%
2033,18.7%
2034,49.07%
2035,4.19 percent
2036,1.2 percent
2037,33.2%
2038,2.58 percent
2039,51.6%
2040,130%
2041,50.7 percent
2042,291.1%
2043,15.89%
2044,75%
2045,1.1 percent
2046,4.47 percent
2047,41.6 percent
2048,0.6%
2049,5.35%
2050,434%
2051,19.42%
2052,270 percent
2053,35.3 percent
2054,57.1 percent
2055,40.5%
2056,101%
2057,nine percentage points
2058,59.0%
2059,1.66%
2060,0.50%
2061,38%
2062,05%
2063,847%
2064,0.52%
2065,53.0 percent
2066,0.77%
2067,8 percentage points
2068,0.28 percent
2069,8.36%
2070,87.8 percent
2071,3.16 percent
2072,02%
2073,79.2%
2074,39.4 percent
2075,647 percent
2076,45.8%
2077,four percentage points
2078,0.534 percentage points
2079,6.89%
2080,2.75%
2081,2.88%
2082,79.3 percent
2083,5.05%
2084,1.2%
2085,6.60 percent
2086,77.7%
2087,1.33 percentage points
2088,0.24%
2089,118 percent
2090,1.65 percent
2091,55.5%
2092,3.79%
2093,55.6%
2094,77.8 percent
2095,917%
2096,1.38%
2097,2.96%
2098,9.75%
2099,4.08 percent
2100,36.19%
2101,5.41%
2102,3.24 percent
2103,17.5%
2104,53.5 percent
2105,104.2 percent
2106,53.3 percent
2107,0.67%
2108,4.95 percent
2109,37 percentage points
2110,41.7%
2111,3.5 percent
2112,51.2 percent
2113,1520%
2114,31.5 percent
2115,350%
2116,0.82 percentage points
2117,2.45 percent
2118,30.3 percent
2119,8.51 percent
2120,101.4%
2121,21.36 percent
2122,2.10%
2123,52.9 percent
2124,25.5%
2125,0.7 percentage points
2126,20.97 percent
2127,25.5 percent
2128,4.31%
2129,95 percent
2130,62.5 percent
2131,1.7 percent
2132,49.4 percent
2133,347%
2134,1.00%
2135,5.70%
2136,34.7 percent
2137,1.49 percent
2138,40.7 percent
2139,10.77 percent
2140,14.1 percent
2141,6.5 percentage points
2142,1.75 percentage points
2143,49.6 percent
2144,5.4%
2145,0.15 percent
2146,11.5 percentage points
2147,3.76%
2148,23.6 percent
2149,14%
2150,2530%
2151,2.15 percent
2152,39.6%
2153,9.06%
2154,45.5 percent
2155,2.07%
2156,6.89 percent
2157,34.2%
2158,465%
2159,6.64 percent
2160,1.62 percent
2161,42.6 percent
2162,13.9 percent
2163,19.6%
2164,1.67%
2165,95.0%
2166,30%
2167,27.7 percent
2168,8.47%
2169,1.6%
2170,21.8 percent
2171,55.8%
2172,117%
2173,33.1%
2174,12.37%
2175,1.15 percent
2176,13.07%
2177,0.0004%
2178,4.67%
2179,3.09%
2180,45.3%
2181,7.14 percent
2182,1.8 percent
2183,18.4%
2184,5.48%
2185,57.5 percent
2186,441%
2187,1.46%
2188,5.3%
2189,3.62%
2190,2.90 percent
2191,12.3%
2192,21.25%
2193,1.22 percent
2194,11.3%
2195,5.76 percent
2196,2.85 percent
2197,0.39%
2198,18.0 percent
2199,39.3%
2200,2.5320%
2201,43.4 percent
2202,1.7 percentage points
2203,79.1%
2204,70 percent
2205,37%
2206,5.2 percent
2207,2.80%
2208,63.5 percent
2209,170%
2210,134.7%
2211,1.45 percent
2212,59.1 percent
2213,5.66%
2214,13.17%
2215,38.8 percent
2216,3.38 percent
2217,27.1%
2218,32 percentage points
2219,98.2%
2220,9.6%
2221,53.6%
2222,23.5%
2223,54.4%
2224,76.9%
2225,2.75 percent
2226,12.6%
2227,11.2 percent
2228,8.00%
2229,0.28 percentage points
2230,10.55 percent
2231,0.432%
2232,43.3 percent
2233,0.87 percent
2234,8.08 percent
2235,2.82%
2236,5.14%
2237,29 percent
2238,275%
2239,15.32 percent
2240,2.87 percent
2241,4.35 percent
2242,1.02 percent
2243,29.3 percent
2244,2.4412 percent
2245,4.29%
2246,12.98%
2247,1.25 percent
2248,19.15%
2249,7.08%
2250,4.8 percent
2251,6.6 percent
2252,249.4%
2253,64.2 percent
2254,3.43%
2255,48.5 percent
2256,2.63%
2257,300%
2258,3.82%
2259,2.02%
2260,4.13 percent
2261,55.4 percent
2262,1.24 percent
2263,9.25 percent
2264,3.6%
2265,19.2 percent
2266,4.76 percent
2267,57.5%
2268,6.84 percent
2269,7.9%
2270,six percent
2271,49.7 percent
2272,850%
2273,3.355%
2274,0.4 percentage points
2275,759%
2276,0.15%
2277,0.28%
2278,163.4 percent
2279,8.4920%
2280,41.2 percent
2281,36.5 percent
2282,16.96%
2283,2.5 percentage points
2284,0.2%
2285,132.3%
2286,6.52 percent
2287,7.5%
2288,3.93 percent
2289,11.25 percent
2290,6.00 percent
2291,20 percent
2292,0.54 percent
2293,4.33%
2294,2.478 percent
2295,21.5 percent
2296,9.32%
2297,49.7%
2298,124031.4%
2299,3 percent
2300,1.82%
2301,8.50 percent
2302,42.6%
2303,33.1 percent
2304,48 percentage points
2305,1.47 percent
2306,1.28%
2307,0.63 percent
2308,76.2%
2309,11.9 percent
2310,44.7 percent
2311,10.37 percent
2312,2.52%
2313,12.00%
2314,91%
2315,52.6 percent
2316,491%
2317,84.3 percent
2318,15%
2319,2.69%
2320,1000 percent
2321,27.4 percent
2322,66.5%
2323,1.91 percent
2324,20.9 percent
2325,85.0%
2326,11.80 percent
2327,0.29 percentage points
2328,0.71%
2329,17.7%
2330,1.94%
2331,9.27%
2332,0.11 percent
2333,74.5 percent
2334,16.4 percent
2335,13.29%
2336,58.8%
2337,5.50%
2338,33.3%
2339,7.43%
2340,30.8%
2341,forty percent
2342,43.6%
2343,4.42%
2344,4.5 percent
2345,967%
2346,4.26 percent
2347,146.4%
2348,9.22%
2349,2.89 percent
2350,4.03%
2351,1.51%
2352,778%
2353,3.46%
2354,0.04%
2355,4.9 percentage points
2356,262%
2357,33.7 percent
2358,1.9 percentage points
2359,86 percent
2360,79.1 percent
2361,7.04%
2362,7.09%
2363,34.1%
2364,30 percentage points
2365,72.4 percent
2366,12.17%
2367,21.7%
2368,39.0%
2369,2.00%
2370,35.2 percent
2371,9.77 percent
2372,271%
2373,198 percent
2374,2.19%
2375,87%
2376,79%
2377,73.8 percent
2378,1.88 percent
2379,9 percent
2380,32.8 percent
2381,373%
2382,18.3 percent
2383,4.471%
2384,0.4159 percent
2385,712%
2386,0.618%
2387,4.46 percent
2388,37.59 percent
2389,7.5 percent
2390,4.6 percentage points
2391,1.04%
2392,2.35 percent
2393,1.99%
2394,0.943 percent
2395,23 percentage points
2396,2.42%
2397,0.172 percent
2398,41.1 percentage points
2399,2.475 percent
2400,13.17 percent
2401,34.3 percent
2402,64.1 percent
2403,22.1 percent
2404,220%
2405,35%
2406,29.0%
2407,0.0017994134%
2408,144%
2409,15 percentage points
2410,22.81 percent
2411,8.15%
2412,8.37 percent
2413,60.71%
2414,thirty-nine percent
2415,40 percentage points
2416,0.50 percent
2417,119%
2418,45.9%
2419,28.5%
2420,14.47 percent
2421,57.7 percent
2422,8.4%
2423,29.6%
2424,1.04 percent
2425,15.2 percent
2426,0.33 percent
2427,51 percent
2428,5.22%
2429,0.007 percentage points
2430,185%
2431,0.75 percent
2432,4.61 percent
2433,0.16%
2434,10.5 percent
2435,20.6 percent
2436,96.88%
2437,31.5%
2438,2.717 percent
2439,2.8%
2440,7.79%
2441,85.5%
2442,7.7 percentage points
2443,88%
2444,7.67%
2445,6.26%
2446,7.49 percent
2447,8.6 percent
2448,20.79%
2449,513 percent
2450,3.1 percentage points
2451,35 percent
2452,1.69 percent
2453,72.8 percent
2454,2.56%
2455,6.34%
2456,20.78%
2457,3.36%
2458,2.4006%
2459,2.43%
2460,90.5%
2461,33 percent
2462,4.17 percent
2463,30.2 percent
2464,44.2%
2465,17.3%
2466,1.375 percent
2467,43 percent
2468,5.16%
2469,19.94%
2470,1.6 percentage points
2471,10%
2472,8.3%
2473,31.8%
2474,2.75 percentage points
2475,27.49%
2476,329%
2477,250 percent
2478,1.43 percent
2479,0.32%
2480,334%
2481,16.9 percent
2482,155 percent
2483,23.9 percent
2484,5.98%
2485,3.14 percent
2486,3.25 percent
2487,58.5 percent
2488,0.011%
2489,2.184%
2490,0.0000001%
2491,2.52 percent
2492,0.23 percent
2493,4.43%
2494,7.75 percent
2495,328 percent
2496,37.9 percent
2497,0.51%
2498,65.1 percent
2499,7.55%
2500,9.44 percent
2501,99.8 percent
2502,80.6%
2503,1.57 percent
2504,14.81 percent
2505,97 percent
2506,9.35%
2507,11.29%
2508,15.85%
2509,13.74%
2510,3.88%
2511,570%
2512,10.31%
2513,1.50%
2514,49.5 percent
2515,6.70 percent
2516,07%
2517,20.7 percent
2518,1.41%
2519,131%
2520,12.09%
2521,27.3%
2522,21.6 percent
2523,35.9%
2524,69.37 percent
2525,0.718%
2526,26.0 percent
2527,nineteen percent
2528,7.13 percent
2529,2.9 percent
2530,18.4 percent
2531,203%
2532,twenty-two percent
2533,73.9%
2534,25 percent
2535,835%
2536,22.4%
2537,2.2%
2538,115 percent
2539,93.9%
2540,8.0%
2541,65.2 percent
2542,11.7%
2543,7.51%
2544,45.2%
2545,0.20 percentage points
2546,28.7 percent
2547,0.91 percent
2548,0.3 percentage points
2549,80 percent
2550,150 percent
2551,8.25%
2552,39.29%
2553,2.66 percent
2554,4.11%
2555,25.3%
2556,5.2 percentage points
2557,59.3 percent
2558,6.4 percent
2559,7.85 percent
2560,4.8 percentage points
2561,78.9%
2562,4.6%
2563,78.3 percent
2564,27 percent
2565,6.4%
2566,0.46%
2567,32.7%
2568,13.61%
2569,50.9%
2570,6.03%
2571,3.91 percent
2572,504%
2573,13.6 percent
2574,3.24%
2575,0.93 percent
2576,8.33 percent
2577,1.9%
2578,7.6 percent
2579,148%
2580,6.0 percent
2581,1.58%
2582,7.22%
2583,0.46 percent
2584,79.6%
2585,27.3 percent
2586,14.8 percent
2587,4.65 percent
2588,38.5%
2589,0.7%
2590,2.25 percent
2591,4.84%
2592,0.86%
2593,22.8%
2594,25.8%
2595,1.80 percent
2596,28.2 percent
2597,9.4 percent
2598,2.292 percent
2599,1.42%
2600,19.7 percent
2601,24.5%
2602,77.2 percent
2603,32.4 percent
2604,40.1 percent
2605,2.724 percent
2606,14.2%
2607,0.07 percent
2608,40.0%
2609,29.21%
2610,52%
2611,110.9%
2612,2.229 percent
2613,34.8%
2614,4.7 percentage points
2615,66.7 percent
2616,12.25%
2617,24.2%
2618,36.3 percent
2619,16.7 percent
2620,4.3%
2621,33%
2622,149 percent
2623,13.81%
2624,2.7 percent
2625,84.4%
2626,68.45%
2627,7.18%
2628,85.8%
2629,3.15%
2630,162%
2631,0.58 percent
2632,44.8%
2633,3.94%
2634,0.38 percent
2635,79.5%
2636,27.34%
2637,72 percent
2638,14.93%
2639,2.3 percent
2640,18.1%
2641,385%
2642,208%
2643,24.29 percent
2644,46.4 percent
2645,65.4 percent
2646,10.77%
2647,1.865 percent
2648,13.9%
2649,1015 percentage points
2650,33.9%
2651,1.734%
2652,6.15%
2653,900 percent
2654,4.35%
2655,0.64%
2656,38.5 percent
2657,24.83 percent
2658,2.06%
2659,80.1%
2660,0.77 percent
2661,2.60%
2662,4.95%
2663,0.67 percent
2664,28 percentage points
2665,120%
2666,65.6%
2667,36.97 percent
2668,51.6 percent
2669,8 percent
2670,0.78%
2671,1.9 percent
2672,5.99%
2673,33.2 percent
2674,6.72%
2675,414%
2676,525%
2677,362.2%
2678,16 percent
2679,59.2%
2680,5.50 percent
2681,93.4 percent
2682,358%
2683,1.35%
2684,77.8%
2685,23.04%
2686,2.27%
2687,240%
2688,9.72 percent
2689,3.93%
2690,72.4%
2691,17.2%
2692,89 percent
2693,11.47 percent
2694,286%
2695,0.62 percent
2696,99.9%
2697,1.52%
2698,3.28%
2699,145 percent
2700,4.46%
2701,1.73%
2702,4.25%
2703,2.61%
2704,361%
2705,10.52%
2706,0.9 percentage points
2707,4.15 percentage points
2708,1550%
2709,236.2 percent
2710,52.3%
2711,45.6 percent
2712,6.22 percent
2713,42.2 percent
2714,54.6%
2715,31.97 percent
2716,85 percent
2717,103%
2718,1.09%
2719,51.1 percent
2720,199%
2721,3.56 percent
2722,4.76%
2723,6.07%
2724,110.4 percent
2725,13.5%
2726,39.8 percent
2727,2.083%
2728,0.43%
2729,3.87%
2730,192%
2731,3.18%
2732,1.59%
2733,57.4%
2734,10.7 percent
2735,3.16%
2736,147 percent
2737,27.8%
2738,3.07%
2739,1.45%
2740,1.55 percentage points
2741,16.4%
2742,1.4%
2743,29.6 percent
2744,62.8 percent
2745,68.0%
2746,48.5%
2747,8.95%
2748,3.2 percentage points
2749,thirty percent
2750,4.54 percent
2751,0.98%
2752,2.827%
2753,2.21 percentage points
2754,2.2 percent
2755,1.60%
2756,18.56%
2757,700 percent
2758,4.4%
2759,13.42%
2760,31.2%
2761,239%
2762,79 percent
2763,2.86%
2764,45 percent
2765,94.0 percent
2766,51.7 percent
2767,19.75%
2768,2.71%
2769,55.9 percent
2770,900%
2771,32 percent
2772,18.0%
2773,19.4%
2774,0.001%
2775,2.93 percent
2776,10.0 percent
2777,7.06 percent
2778,11.45 percent
2779,23.1%
2780,8.19%
2781,51%
2782,22.7%
2783,189 percent
2784,10.6%
2785,6.12 percent
2786,0.47%
2787,3.79 percent
2788,2.99%
2789,2.89%
2790,274%
2791,122 percent
2792,4.65%
2793,35.5%
2794,12 percentage points
2795,10.74%
2796,2.39%
2797,2.9 percentage points
2798,248%
2799,6.74 percent
2800,60.5 percent
2801,12.78 percent
2802,202%
2803,579%
2804,93.7 percent
2805,0.76 percentage points
2806,98.7%
2807,1.275 percent
2808,7.25%
2809,4.56%
2810,4.83%
2811,3.92%
2812,2.77 percent
2813,0.74 percent
2814,1.00 percent
2815,910%
2816,13.3%
2817,3.84 percent
2818,15.1 percent
2819,3.33%
2820,0.55%
2821,1.66 percent
2822,21.2 percent
2823,0.91%
2824,75 percentage points
2825,55.2 percent
2826,73.4 percent
2827,46.6%
2828,2.47%
2829,0.65%
2830,12.07 percent
2831,0.57 percentage points
2832,3.85%
2833,123%
2834,261.8%
2835,2.9%
2836,36.9 percent
2837,81.4 percent
2838,51.4%
2839,58.2%
2840,16.1 percent
2841,612%
2842,6.25%
2843,284.5%
2844,27.0%
2845,248.2%
2846,81.2%
2847,57.3%
2848,6.27%
2849,1.27%
2850,19.39%
2851,22.61%
2852,190%
2853,34.9%
2854,0.4 percent
2855,124.6%
2856,0.001 percentage points
2857,2.92 percent
2858,4.2%
2859,1.7%
2860,0.72%
2861,4 percent
2862,0.95 percent
2863,2.04%
2864,4.20%
2865,79.6 percent
2866,13.44%
2867,1.02%
2868,6.04 percent
2869,463%
2870,8.9 percent
2871,11.3 percent
2872,62.9 percent
2873,7.9 percent
2874,1.53%
2875,3.58%
2876,102.7%
2877,71 percent
2878,22.9%
2879,6.875%
2880,6.3 percent
2881,39.8%
2882,4.73%
2883,29.03 percent
2884,4.6 percent
2885,4.78 percent
2886,89.5 percent
2887,59.5%
2888,7.11 percent
2889,3.8%
2890,14.85%
2891,27.7%
2892,78.5%
2893,1600%
2894,0.2 percent
2895,60.9 percent
2896,2.375 percent
2897,2.1 percent
2898,1.12%
2899,59.6%
2900,14.75 percent
2901,70.5 percent
2902,6.1%
2903,0.35 percentage points
2904,15.99%
2905,9.58%
2906,58 percent
2907,9.02%
2908,28.6%
2909,3.61%
2910,57.84%
2911,53.4%
2912,510%
2913,80.7%
2914,13.84%
2915,54.8%
2916,0.5 percentage points
2917,18.3%
2918,29.5%
2919,7.65 percent
2920,1.5 percent
2921,37.6 percent
2922,88.8 percent
2923,30.3%
2924,3.71%
2925,0.08%
2926,10.9 percent
2927,64.7 percent
2928,5.11%
2929,81.4%
2930,26.4 percent
2931,27.1 percent
2932,300 percent
2933,5.44%
2934,172%
2935,1.39%
2936,15.8%
2937,50.3%
2938,8.5 percent
2939,182 percent
2940,0.909%
2941,21.15 percent
2942,23.8%
2943,0.31 percent
2944,340%
2945,0.03 percent
2946,12.11 percent
2947,1.0%
2948,2.57%
2949,0.18 percent
2950,41.6%
2951,124 percent
2952,26.1%
2953,2.16 percent
2954,5.9%
2955,95.9%
2956,27%
2957,2.41 percent
2958,0.84 percent
2959,0.03%
2960,19.96 percent
2961,4.58%
2962,38.2 percent
2963,0.45%
2964,5.4 percentage points
2965,50 percent
2966,100 percent
2967,1.32%
2968,0 percent
2969,0.80%
2970,62.0%
2971,96.22%
2972,60.7%
2973,242%
2974,4.80%
2975,seventeen percent
2976,16.31 percent
2977,14.9 percent
2978,52.7%
2979,16 percentage points
2980,1.40%
2981,1.75%
2982,2.59%
2983,6.84%
2984,2.76%
2985,650%
2986,2.648 percent
2987,11.7 percent
2988,2.467 percent
2989,19.99%
2990,15.7%
2991,12.07%
2992,2.614 percent
2993,31.7 percent
2994,6.75%
2995,1.83 percentage points
2996,67.3 percent
2997,0.30 percent
2998,26.23 percent
2999,1.64%
3000,29.2 percent
3001,53 percent
3002,18.8%
3003,4.0 percent
3004,37.7 percent
3005,56.1 percent
3006,63.0 percent
3007,438%
3008,59.7 percent
3009,655%
3010,58.6%
3011,31%
3012,80.98%
3013,57.2%
3014,3.9 percent
3015,5.95%
3016,4.09%
3017,12.1 percent
3018,89%
3019,79.9 percent
3020,81.0 percent
3021,450%
3022,92 percent
3023,5.63%
3024,6.82 percent
3025,8.66 percent
3026,81.9 percent
3027,79.5 percent
3028,4.64%
3029,4.37%
3030,127.3%
3031,7.04 percent
3032,18.5 percent
3033,42.5%
3034,1.12 percent
3035,46.2%
3036,2.34 percent
3037,18.7 percent
3038,0.25 percent
3039,14.3%
3040,4%
3041,462%
3042,33.8 percent
3043,20133.6 percent
3044,9.9 percent
3045,0.9 percent
3046,17.01 percent
3047,5.72%
3048,177 percent
3049,9.03 percent
3050,24.041%
3051,35.8 percent
3052,48.6%
3053,1.29%
3054,43%
3055,11.8%
3056,63.8 percent
3057,11.4%
3058,65.0 percent
3059,11.73%
3060,28.9 percent
3061,87.3 percent
3062,33.55%
3063,3.324%
3064,9.1%
3065,4.32%
3066,9.29%
3067,3382%
3068,26.7 percent
3069,three percent
3070,5.25 percent
3071,232%
3072,57.1%
3073,9.3%
3074,11.8 percent
3075,7.76%
3076,56.3 percent
3077,6.50%
3078,0.63%
3079,72.2%
3080,33 percentage points
3081,64%
3082,76.8 percent
3083,0.47 percent
3084,1.65%
3085,165.05%
3086,14.44%
3087,343.74%
3088,8.8 percent
3089,387%
3090,28.3%
3091,4.40%
3092,5.63 percent
3093,19.5 percent
3094,0.8 percentage points
3095,2.45%
3096,2.277 percent
3097,15.26%
3098,150.62%
3099,48.18%
3100,3.4 percentage points
3101,79.8%
3102,17.82 percent
3103,0.18%
3104,1.89 percent
3105,2.377 percent
3106,2.618%
3107,4.1 percent
3108,7.59%
3109,34.9 percent
3110,9.17 percent
3111,38.2%
3112,17.45%
3113,15.36%
3114,71.6%
3115,49.5%
3116,270%
3117,2.300 percent
3118,14.56%
3119,184.56 percent
3120,30.2%
3121,0.52 percent
3122,52.6%
3123,3.56%
3124,67.2 percent
3125,145%
3126,16.3 percent
3127,1.83%
3128,3.89%
3129,12.08%
3130,86.3 percent
3131,3.2 percent
3132,2.19 percent
3133,4.27 percent
3134,2.21%
3135,9.8%
3136,51.9 percent
3137,59 percent
3138,92.9%
3139,116%
3140,4.53 percent
3141,6.2 percent
3142,0.385 percent
3143,3.71 percent
3144,233%
3145,0.89%
3146,10.2%
3147,1019%
3148,32.32%
3149,0.75 percentage points
3150,26.9%
3151,2.64%
3152,30.1 percent
3153,16.9%
3154,204 percent
3155,21.1 percent
3156,101 percent
3157,25.8 percent
3158,53.7%
3159,87.3%
3160,3.6 percentage points
3161,64.8%
3162,24.1 percent
3163,28 percent
3164,8.84%
3165,18.9 percent
3166,2.55%
3167,62.5%
3168,303%
3169,6.2%
3170,2.14%
3171,6.46 percent
3172,30.7 percent
3173,15.5%
3174,10.2 percent
3175,0.403%
3176,3.53%
3177,1.07%
3178,0.35%
3179,4.50%
3180,19.3%
3181,92.3%
3182,74%
3183,4.23%
3184,40.2 percent
3185,one percent
3186,3.54%
3187,36.4 percent
3188,1.0 percent
3189,15.2%
3190,28.3 percent
3191,10.70%
3192,22 percent
3193,6.584%
3194,20.2%
3195,23%
3196,2.03%
3197,63.8%
3198,86.0%
3199,14.4%
3200,92%
3201,2.85%
3202,0.06%
3203,5.61%
3204,14.75%
3205,6.87 percent
3206,49.9 percent
3207,4.16%
3208,0.73 percentage points
3209,78.8 percent
3210,72.79%
3211,9.25%
3212,15.5 percent
3213,41.5%
3214,142 percent
3215,4.32 percent
3216,2.81%
3217,13.3 percent
3218,1.54 percent
3219,89.7 percent
3220,0.709 percent
3221,0.29 percent
3222,1.74%
3223,2535%
3224,72.1 percent
3225,135%
3226,1.85 percent
3227,28.2%
3228,1.257%
3229,16.1%
3230,25.2%
3231,597%
3232,95.3%
3233,0.001387015%
3234,0.82%
3235,37.8%
3236,7.70%
3237,4.71%
3238,3.74 percent
3239,39.5 percent
3240,5.65%
3241,53.2%
3242,80.9%
3243,92.4%
3244,23.4%
3245,11.1 percent
3246,63.7%
3247,55.3%
3248,0.48 percent
3249,18.8 percent
3250,220 percent
3251,21.5%
3252,5.75 percent
3253,seven percentage points
3254,11.6%
3255,0.27%
3256,1.08 percent
3257,1.25%
3258,13.85%
3259,0.915 percent
3260,7.24%
3261,77.9 percent
3262,0.19 percent
3263,35.5 percent
3264,16.12%
3265,24.6%
3266,4.33 percent
3267,219 percent
3268,3.48 percent
3269,0.87%
3270,500%
3271,12.0%
3272,2.95%
3273,2.37%
3274,22.51%
3275,11.9%
3276,44 percent
3277,46.1%
3278,11.0%
3279,58.0%
3280,62 percent
3281,1.56%
3282,16.83%
3283,9.8 percent
3284,56.3%
3285,2.1%
3286,40.4 percent
3287,5.88%
3288,10.78 percent
3289,34.0 percent
3290,99.99 percent
3291,1200 percent
3292,8.34 percent
3293,7.82%
3294,44.4%
3295,5.64 percent
3296,110%
3297,1.0 percentage points
3298,30.5 percent
3299,215 percent
3300,5.39 percent
3301,21.3 percent
3302,36.6%
3303,22 percentage points
3304,3.57%
3305,86%
3306,0.53 percent
3307,370%
3308,1.68%
3309,123 percent
3310,4.625%
3311,18.06%
3312,2.26%
3313,74.2%
3314,2.78%
3315,72.9%
3316,13.43%
3317,6.01 percent
3318,0.11%
3319,50%
3320,13.5 percentage points
3321,6.8 percent
3322,89.1 percent
3323,7.75%
3324,32.80%
3325,0.93%
3326,0.21 percentage points
3327,19.1 percent
3328,2.652%
3329,24.8%
3330,31.4%
3331,1.48%
3332,7.25 percent
3333,32.93%
3334,0.005 percent
3335,60.8 percent
3336,47.7 percent
3337,8.58 percent
3338,2.70 percent
3339,6.7 percentage points
3340,51.4 percent
